date,branch,department,total_beds,occupied_beds,total_icu_beds,occupied_icu_beds,staff_on_duty
2024-01-01,Branch A,Cardiology,110,80,22,17,37
2024-01-01,Branch A,Oncology,119,82,23,20,21
2024-01-01,Branch A,Orthopedics,65,52,13,8,17
2024-01-01,Branch A,Pediatrics,54,54,10,9,16
2024-01-01,Branch A,Emergency,42,20,8,8,34
2024-01-01,Branch A,General Medicine,42,39,8,4,25
2024-01-01,Branch B,Cardiology,77,77,15,9,38
2024-01-01,Branch B,Oncology,51,41,10,8,23
2024-01-01,Branch B,Orthopedics,57,57,11,11,10
2024-01-01,Branch B,Pediatrics,93,79,18,12,33
2024-01-01,Branch B,Emergency,95,80,19,19,33
2024-01-01,Branch B,General Medicine,96,89,19,13,34
2024-01-01,Branch C,Cardiology,99,80,19,12,13
2024-01-01,Branch C,Oncology,60,39,12,7,39
2024-01-01,Branch C,Orthopedics,74,35,14,10,17
2024-01-01,Branch C,Pediatrics,83,65,16,7,38
2024-01-01,Branch C,Emergency,87,56,17,7,11
2024-01-01,Branch C,General Medicine,101,88,20,16,34
2024-01-02,Branch A,Cardiology,108,81,21,14,11
2024-01-02,Branch A,Oncology,56,28,11,11,24
2024-01-02,Branch A,Orthopedics,116,84,23,22,21
2024-01-02,Branch A,Pediatrics,57,45,11,11,35
2024-01-02,Branch A,Emergency,113,86,22,16,35
2024-01-02,Branch A,General Medicine,106,92,21,13,39
2024-01-02,Branch B,Cardiology,111,92,22,15,10
2024-01-02,Branch B,Oncology,43,25,8,8,15
2024-01-02,Branch B,Orthopedics,74,55,14,10,18
2024-01-02,Branch B,Pediatrics,61,27,12,9,14
2024-01-02,Branch B,Emergency,97,73,19,18,14
2024-01-02,Branch B,General Medicine,108,68,21,15,19
2024-01-02,Branch C,Cardiology,88,66,17,17,15
2024-01-02,Branch C,Oncology,94,65,18,15,11
2024-01-02,Branch C,Orthopedics,70,51,14,10,16
2024-01-02,Branch C,Pediatrics,94,77,18,15,16
2024-01-02,Branch C,Emergency,80,64,16,16,34
2024-01-02,Branch C,General Medicine,101,75,20,14,25
