date,branch,department,doctors_available,doctors_booked,doctor_utilization_pct
2024-01-01,Branch A,Cardiology,14,12,85.71
2024-01-01,Branch A,Oncology,5,5,100.0
2024-01-01,Branch A,Orthopedics,14,3,21.43
2024-01-01,Branch A,Pediatrics,10,10,100.0
2024-01-01,Branch A,Emergency,7,3,42.86
2024-01-01,Branch A,General Medicine,7,3,42.86
2024-01-01,Branch B,Cardiology,8,8,100.0
2024-01-01,Branch B,Oncology,14,12,85.71
2024-01-01,Branch B,Orthopedics,11,3,27.27
2024-01-01,Branch B,Pediatrics,14,5,35.71
2024-01-01,Branch B,Emergency,14,3,21.43
2024-01-01,Branch B,General Medicine,13,12,92.31
2024-01-01,Branch C,Cardiology,13,6,46.15
2024-01-01,Branch C,Oncology,10,7,70.0
2024-01-01,Branch C,Orthopedics,9,9,100.0
2024-01-01,Branch C,Pediatrics,9,9,100.0
2024-01-01,Branch C,Emergency,10,4,40.0
2024-01-01,Branch C,General Medicine,14,13,92.86
2024-01-02,Branch A,Cardiology,9,7,77.78
2024-01-02,Branch A,Oncology,10,9,90.0
2024-01-02,Branch A,Orthopedics,12,12,100.0
2024-01-02,Branch A,Pediatrics,13,3,23.08
2024-01-02,Branch A,Emergency,7,4,57.14
2024-01-02,Branch A,General Medicine,13,13,100.0
2024-01-02,Branch B,Cardiology,5,5,100.0
2024-01-02,Branch B,Oncology,6,3,50.0
2024-01-02,Branch B,Orthopedics,5,4,80.0
2024-01-02,Branch B,Pediatrics,7,7,100.0
2024-01-02,Branch B,Emergency,11,9,81.82
2024-01-02,Branch B,General Medicine,8,4,50.0
2024-01-02,Branch C,Cardiology,7,3,42.86
2024-01-02,Branch C,Oncology,7,7,100.0
2024-01-02,Branch C,Orthopedics,9,9,100.0
2024-01-02,Branch C,Pediatrics,5,4,80.0
2024-01-02,Branch C,Emergency,10,4,40.0
2024-01-02,Branch C,General Medicine,8,7,87.5
2024-01-03,Branch A,Cardiology,6,6,100.0
2024-01-03,Branch A,Oncology,7,7,100.0
2024-01-03,Branch A,Orthopedics,11,5,45.45
2024-01-03,Branch A,Pediatrics,14,13,92.86
2024-01-03,Branch A,Emergency,11,9,81.82
2024-01-03,Branch A,General Medicine,12,8,66.67
2024-01-03,Branch B,Cardiology,5,4,80.0
2024-01-03,Branch B,Oncology,11,6,54.55
2024-01-03,Branch B,Orthopedics,12,8,66.67
2024-01-03,Branch B,Pediatrics,5,3,60.0
2024-01-03,Branch B,Emergency,6,4,66.67
2024-01-03,Branch B,General Medicine,9,4,44.44
2024-01-03,Branch C,Cardiology,8,4,50.0
2024-01-03,Branch C,Oncology,7,5,71.43
2024-01-03,Branch C,Orthopedics,8,4,50.0
2024-01-03,Branch C,Pediatrics,13,13,100.0
2024-01-03,Branch C,Emergency,11,5,45.45
2024-01-03,Branch C,General Medicine,6,3,50.0
2024-01-04,Branch A,Cardiology,6,5,83.33
2024-01-04,Branch A,Oncology,7,7,100.0
2024-01-04,Branch A,Orthopedics,8,3,37.5
2024-01-04,Branch A,Pediatrics,6,5,83.33
2024-01-04,Branch A,Emergency,9,8,88.89
2024-01-04,Branch A,General Medicine,13,12,92.31
2024-01-04,Branch B,Cardiology,12,3,25.0
2024-01-04,Branch B,Oncology,8,4,50.0
2024-01-04,Branch B,Orthopedics,7,7,100.0
2024-01-04,Branch B,Pediatrics,14,11,78.57
2024-01-04,Branch B,Emergency,12,7,58.33
2024-01-04,Branch B,General Medicine,11,4,36.36
2024-01-04,Branch C,Cardiology,14,5,35.71
2024-01-04,Branch C,Oncology,14,12,85.71
2024-01-04,Branch C,Orthopedics,12,10,83.33
2024-01-04,Branch C,Pediatrics,9,8,88.89
2024-01-04,Branch C,Emergency,9,9,100.0
2024-01-04,Branch C,General Medicine,12,12,100.0
2024-01-05,Branch A,Cardiology,12,5,41.67
2024-01-05,Branch A,Oncology,14,5,35.71
2024-01-05,Branch A,Orthopedics,8,8,100.0
2024-01-05,Branch A,Pediatrics,5,4,80.0
2024-01-05,Branch A,Emergency,10,9,90.0
2024-01-05,Branch A,General Medicine,11,3,27.27
2024-01-05,Branch B,Cardiology,6,5,83.33
2024-01-05,Branch B,Oncology,10,3,30.0
2024-01-05,Branch B,Orthopedics,11,11,100.0
2024-01-05,Branch B,Pediatrics,9,4,44.44
2024-01-05,Branch B,Emergency,14,14,100.0
2024-01-05,Branch B,General Medicine,7,3,42.86
2024-01-05,Branch C,Cardiology,10,9,90.0
2024-01-05,Branch C,Oncology,8,7,87.5
2024-01-05,Branch C,Orthopedics,11,10,90.91
2024-01-05,Branch C,Pediatrics,11,5,45.45
2024-01-05,Branch C,Emergency,11,4,36.36
2024-01-05,Branch C,General Medicine,9,4,44.44
2024-01-06,Branch A,Cardiology,8,8,100.0
2024-01-06,Branch A,Oncology,6,4,66.67
2024-01-06,Branch A,Orthopedics,11,4,36.36
2024-01-06,Branch A,Pediatrics,9,8,88.89
2024-01-06,Branch A,Emergency,9,8,88.89
2024-01-06,Branch A,General Medicine,14,4,28.57
2024-01-06,Branch B,Cardiology,13,6,46.15
2024-01-06,Branch B,Oncology,14,12,85.71
2024-01-06,Branch B,Orthopedics,13,7,53.85
2024-01-06,Branch B,Pediatrics,5,3,60.0
2024-01-06,Branch B,Emergency,5,5,100.0
2024-01-06,Branch B,General Medicine,9,9,100.0
2024-01-06,Branch C,Cardiology,11,6,54.55
2024-01-06,Branch C,Oncology,5,3,60.0
2024-01-06,Branch C,Orthopedics,12,4,33.33
2024-01-06,Branch C,Pediatrics,8,5,62.5
2024-01-06,Branch C,Emergency,9,5,55.56
2024-01-06,Branch C,General Medicine,7,4,57.14
2024-01-07,Branch A,Cardiology,7,5,71.43
2024-01-07,Branch A,Oncology,14,6,42.86
2024-01-07,Branch A,Orthopedics,8,6,75.0
2024-01-07,Branch A,Pediatrics,13,3,23.08
2024-01-07,Branch A,Emergency,11,5,45.45
2024-01-07,Branch A,General Medicine,13,10,76.92
2024-01-07,Branch B,Cardiology,12,7,58.33
2024-01-07,Branch B,Oncology,8,8,100.0
2024-01-07,Branch B,Orthopedics,7,6,85.71
2024-01-07,Branch B,Pediatrics,14,13,92.86
2024-01-07,Branch B,Emergency,5,3,60.0
2024-01-07,Branch B,General Medicine,12,11,91.67
2024-01-07,Branch C,Cardiology,13,11,84.62
2024-01-07,Branch C,Oncology,14,11,78.57
2024-01-07,Branch C,Orthopedics,10,10,100.0
2024-01-07,Branch C,Pediatrics,5,4,80.0
2024-01-07,Branch C,Emergency,8,8,100.0
2024-01-07,Branch C,General Medicine,5,5,100.0
2024-01-08,Branch A,Cardiology,9,9,100.0
2024-01-08,Branch A,Oncology,13,6,46.15
2024-01-08,Branch A,Orthopedics,14,3,21.43
2024-01-08,Branch A,Pediatrics,14,7,50.0
2024-01-08,Branch A,Emergency,14,11,78.57
2024-01-08,Branch A,General Medicine,5,3,60.0
2024-01-08,Branch B,Cardiology,7,6,85.71
2024-01-08,Branch B,Oncology,13,4,30.77
2024-01-08,Branch B,Orthopedics,6,3,50.0
2024-01-08,Branch B,Pediatrics,6,4,66.67
2024-01-08,Branch B,Emergency,6,4,66.67
2024-01-08,Branch B,General Medicine,7,3,42.86
2024-01-08,Branch C,Cardiology,9,6,66.67
2024-01-08,Branch C,Oncology,8,7,87.5
2024-01-08,Branch C,Orthopedics,13,6,46.15
2024-01-08,Branch C,Pediatrics,5,3,60.0
2024-01-08,Branch C,Emergency,10,8,80.0
2024-01-08,Branch C,General Medicine,12,5,41.67
2024-01-09,Branch A,Cardiology,12,3,25.0
2024-01-09,Branch A,Oncology,12,10,83.33
2024-01-09,Branch A,Orthopedics,13,10,76.92
2024-01-09,Branch A,Pediatrics,7,3,42.86
2024-01-09,Branch A,Emergency,6,5,83.33
2024-01-09,Branch A,General Medicine,14,14,100.0
2024-01-09,Branch B,Cardiology,6,5,83.33
2024-01-09,Branch B,Oncology,5,5,100.0
2024-01-09,Branch B,Orthopedics,10,3,30.0
2024-01-09,Branch B,Pediatrics,5,3,60.0
2024-01-09,Branch B,Emergency,7,4,57.14
2024-01-09,Branch B,General Medicine,10,7,70.0
2024-01-09,Branch C,Cardiology,5,5,100.0
2024-01-09,Branch C,Oncology,7,4,57.14
2024-01-09,Branch C,Orthopedics,9,5,55.56
2024-01-09,Branch C,Pediatrics,10,6,60.0
2024-01-09,Branch C,Emergency,12,6,50.0
2024-01-09,Branch C,General Medicine,6,4,66.67
2024-01-10,Branch A,Cardiology,6,6,100.0
2024-01-10,Branch A,Oncology,6,3,50.0
2024-01-10,Branch A,Orthopedics,5,3,60.0
2024-01-10,Branch A,Pediatrics,6,5,83.33
2024-01-10,Branch A,Emergency,11,4,36.36
2024-01-10,Branch A,General Medicine,9,5,55.56
2024-01-10,Branch B,Cardiology,14,12,85.71
2024-01-10,Branch B,Oncology,8,7,87.5
2024-01-10,Branch B,Orthopedics,7,4,57.14
2024-01-10,Branch B,Pediatrics,8,3,37.5
2024-01-10,Branch B,Emergency,6,3,50.0
2024-01-10,Branch B,General Medicine,13,12,92.31
2024-01-10,Branch C,Cardiology,13,10,76.92
2024-01-10,Branch C,Oncology,9,8,88.89
2024-01-10,Branch C,Orthopedics,9,7,77.78
2024-01-10,Branch C,Pediatrics,6,4,66.67
2024-01-10,Branch C,Emergency,10,6,60.0
2024-01-10,Branch C,General Medicine,9,8,88.89
2024-01-11,Branch A,Cardiology,9,4,44.44
2024-01-11,Branch A,Oncology,5,3,60.0
2024-01-11,Branch A,Orthopedics,7,6,85.71
2024-01-11,Branch A,Pediatrics,8,3,37.5
2024-01-11,Branch A,Emergency,14,8,57.14
2024-01-11,Branch A,General Medicine,8,8,100.0
2024-01-11,Branch B,Cardiology,6,4,66.67
2024-01-11,Branch B,Oncology,10,4,40.0
2024-01-11,Branch B,Orthopedics,9,6,66.67
2024-01-11,Branch B,Pediatrics,13,8,61.54
2024-01-11,Branch B,Emergency,10,4,40.0
2024-01-11,Branch B,General Medicine,6,6,100.0
2024-01-11,Branch C,Cardiology,7,3,42.86
2024-01-11,Branch C,Oncology,14,3,21.43
2024-01-11,Branch C,Orthopedics,7,4,57.14
2024-01-11,Branch C,Pediatrics,10,4,40.0
2024-01-11,Branch C,Emergency,12,6,50.0
2024-01-11,Branch C,General Medicine,9,3,33.33
2024-01-12,Branch A,Cardiology,8,3,37.5
2024-01-12,Branch A,Oncology,14,9,64.29
2024-01-12,Branch A,Orthopedics,13,7,53.85
2024-01-12,Branch A,Pediatrics,5,4,80.0
2024-01-12,Branch A,Emergency,9,8,88.89
2024-01-12,Branch A,General Medicine,12,3,25.0
2024-01-12,Branch B,Cardiology,5,4,80.0
2024-01-12,Branch B,Oncology,14,8,57.14
2024-01-12,Branch B,Orthopedics,6,6,100.0
2024-01-12,Branch B,Pediatrics,6,6,100.0
2024-01-12,Branch B,Emergency,13,3,23.08
2024-01-12,Branch B,General Medicine,6,5,83.33
2024-01-12,Branch C,Cardiology,8,3,37.5
2024-01-12,Branch C,Oncology,6,5,83.33
2024-01-12,Branch C,Orthopedics,10,4,40.0
2024-01-12,Branch C,Pediatrics,7,4,57.14
2024-01-12,Branch C,Emergency,11,6,54.55
